date,game,name,role,lover,dying,deathday,lucky,win,badge,season
2016/8/8,1,郑轩,I,,P,1,,,,2
2016/8/8,1,余冰雁,V,,H,2,,,,2
2016/8/8,1,李蔚然,V,,,,,,,2
2016/8/8,1,樊佩蓉,V,,,,,,,2
2016/8/8,1,林丽静,V,,,,,,,2
2016/8/8,1,刘浛,S,,K,3,,,,2
2016/8/8,1,苏冠通,W,,,,,1,,2
2016/8/8,1,李毅彬,W,,Ex,2,,1,,2
2016/8/8,1,刘其春,Witch,,K,1,,,,2
2016/8/8,1,王晓丹,W,,Ex,1,,1,,2
2016/8/8,1,李赫峥,W,,,,,1,,2
2016/8/8,1,赵文琦,H,,K,2,,,,2
2016/8/8,2,郑轩,V,,E,2,,,,2
2016/8/8,2,余冰雁,W,,H,3,,1,,2
2016/8/8,2,李蔚然,V,,P,2,,,,2
2016/8/8,2,樊佩蓉,Witch,,K,2,,,,2
2016/8/8,2,林丽静,V,,,,,,,2
2016/8/8,2,刘浛,V,,K,3,,,,2
2016/8/8,2,苏冠通,W,,Ex,1,,1,,2
2016/8/8,2,李毅彬,S,,K,1,,,,2
2016/8/8,2,刘其春,W,,,,,1,,2
2016/8/8,2,王晓丹,W,,,,,1,,2
2016/8/8,2,李赫峥,I,,K,4,,,,2
2016/8/8,2,赵文琦,H,,E,3,,,,2
2016/8/8,3,郑轩,V,,K,1,,,,2
2016/8/8,3,余冰雁,V,,E,5,,,,2
2016/8/8,3,李蔚然,I,,K,5,,,,2
2016/8/8,3,樊佩蓉,V,,K,2,,,,2
2016/8/8,3,林丽静,W,,E,4,,1,,2
2016/8/8,3,刘浛,V,,K,3,,,,2
2016/8/8,3,苏冠通,S,,K,4,,,,2
2016/8/8,3,李毅彬,H,,,,,,,2
2016/8/8,3,刘其春,W,,,,,1,,2
2016/8/8,3,王晓丹,W,,Ex,1,,1,,2
2016/8/8,3,李赫峥,W,,E,3,,1,,2
2016/8/8,3,赵文琦,Witch,,E,2,,,,2
2016/8/8,4,郑轩,V,,E,1,,1,1,2
2016/8/8,4,余冰雁,W,,Ex,2,,,,2
2016/8/8,4,李蔚然,W,,K,2,,,,2
2016/8/8,4,樊佩蓉,H,,E,4,,1,,2
2016/8/8,4,林丽静,S,,,,,1,"2,3,4",2
2016/8/8,4,刘浛,W,,H,4,,,,2
2016/8/8,4,苏冠通,W,,P,2,,,,2
2016/8/8,4,李毅彬,V,,,,KR3,1,,2
2016/8/8,4,刘其春,I,,K,1,,1,,2
2016/8/8,4,王晓丹,V,,,,,1,,2
2016/8/8,4,李赫峥,V,,E,3,,1,,2
2016/8/8,4,赵文琦,Witch,,K,4,,1,,2
2016/8/8,5,郑轩,I,,,,,,"2,3",2
2016/8/8,5,余冰雁,V,,H,3,KR1,,,2
2016/8/8,5,李蔚然,Witch,,K,3,,,,2
2016/8/8,5,樊佩蓉,W,,,,,1,,2
2016/8/8,5,林丽静,H,,E,3,,,,2
2016/8/8,5,刘浛,W,,E,1,,1,,2
2016/8/8,5,苏冠通,V,,P,3,,,,2
2016/8/8,5,李毅彬,V,,,,,,,2
2016/8/8,5,刘其春,W,,E,2,,1,,2
2016/8/8,5,王晓丹,S,,K,2,,,1,2
2016/8/8,5,李赫峥,W,,,,,1,,2
2016/8/8,5,赵文琦,V,,,,,,,2
2016/8/8,6,郑轩,W,,E,3,,1,,2
2016/8/8,6,余冰雁,W,,H,4,,1,,2
2016/8/8,6,李蔚然,H,,K,4,,,,2
2016/8/8,6,樊佩蓉,I,,,,,,"2,3,4,5",2
2016/8/8,6,林丽静,W,,K,2,,1,,2
2016/8/8,6,刘浛,S,,E,1,,,1,2
2016/8/8,6,苏冠通,V,,E,4,,,,2
2016/8/8,6,李毅彬,V,,K,5,KR3,,,2
2016/8/8,6,刘其春,V,,E,2,,,,2
2016/8/8,6,王晓丹,Witch,,,,,,,2
2016/8/8,6,李赫峥,V,,K,1,,,,2
2016/8/8,6,赵文琦,W,,,,,1,,2
